Math 32,Northern California,Male,American Indian or Alaskan Native,Junior,100,,Management and Business Economics,16,3.89,Yes: Math 15 at UC Merced,No,Auditory,100,June,20,69,10,150,100,6,1,0,8,Google+,Android,"Colorado Rockies,New York Yankees",San Francisco 49ers,Brooklyn Nets,Colorado Avalanche,100,100,1,2,20,Yes,dormitory,3,0,10,100,100,bus,100,100,public school,100,Yes,100,"Bookstore\, Marketplace\, and/or the Lantern",Yes,Yes,Yes,2.3568,married,100,100,100,Yes,Yes: sports club,100,100,100,300000,54,12,3,28,Yes,100,100,100,No,Single,Blue,100,100,100,100,100,100,1,monthly,100,100,2,Blacklist,Transcendence,100,No,100,Yes,100,100,100,100,I do not plan to join a fraternity nor sorority,100,No,Desktop computer,Yes,100,Yes,100,I plan on earning a bachelor's degree at UC Merced,100,100,Yes,Yes,Yes,Yes,Yes,100,100,Pancakes,coffee,Dogs,100,100,7,100,100,Yes,Yes!,Cap,"Thanos

Â ",Summer,left-handed,100,100,2,100,100,100,ocean,100
Bio 175,Northern California,Male,Hispanic or Latino,Senior,116,Applied Mathematical Sciences,NA,16,3.75,"Yes: AP Statistics,Yes: Math 15 at UC Merced",Yes,Auditory,NA,May,21,69,10.5,240,NA,2,0,0,7,Twitter,Android,San Franciso Giants,NA,NA,NA,NA,NA,0,0,NA,NA,off-campus apartment in Merced,NA,NA,NA,NA,NA,car,NA,NA,public school,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bio 175,Southern California,Male,Asian or Pacific Islander,Senior,104,Applied Mathematical Sciences,NA,16,3.3,"Yes: Math 15 at UC Merced,Yes: another (other than Math 15) statistics training course at UC Merced",Yes,Visual,10,February,22,67.2,8,148,100,5,0,0,8,"LinkedIn,Twitter",Android,Chicago Cubs,Detroit Lions,Los Angeles Lakers,St. Louis Blues,50,50,3,0,25,No,off-campus apartment in Merced,3,2,12,80,80,bus,80,0,public school,100,No,20,carts,No,Yes,Yes,2,married,0,70,70,No,No,50,80,0,10000,50,30,5,80,No,40,40,20,No,Single,yellow,6,40,3,21,21,3,0,weekly,100,0,0,no,cars,80,Yes,90,Yes,3,266,3.8,1400,I am in a fraternity,100,No,Laptop computer,Yes,4,No,1200,I plan on earning a bachelor's degree at UC Merced,70,0,No,No,No,Yes,No,100,0,Pancakes,tea,Cats,70,10,1,70,40,Yes,Yes!,spiderman,no,Summer,right-handed,80,70,10,70,no,no,snow,20
Bio 175,Central California,Female,"Black or African American,Hispanic or Latino",Senior,114.3,Applied Mathematical Sciences,Psychology,16,3.73,"Yes: AP Statistics,Yes: Math 15 at UC Merced,Yes: another (other than Math 15) statistics training course at UC Merced",Yes,Visual,10,October,21,62,8,180,20000,2,1,2,6,Pinterest,Android,New York Mets,Dallas Cowboys,Los Angeles Lakers,New York Rangers,0,0,2,2,19,No,off-campus house in Merced,3,3,15,85,95,car,90,0,public school,0,No,30,"Bookstore\, Marketplace\, and/or the Lantern",No,Yes,Yes,2,married,0,40,35,No,No,0,60,0,40000,20,20,20,5,No,20,30,15,No,Single,green,7,80,7,7,2,4,2,NA,60,10,2,the 100,halloweentown,80,Yes,60,No,4,220,3.9,NA,I do not plan to join a fraternity nor sorority,10,Yes,"Laptop computer,Computer lab",No,10,Yes,NA,I plan on earning a bachelor's degree at UC Merced,50,0,No,NA,Yes,Yes,No,90,25,Waffles,coffee,Cats,100,2,1,80,40,Yes,No!,hulk,lex luthor,Fall,right-handed,40,90,12,75,"numerical analysis, math 130",noemi petra,snow,98
Bio 175,Southern California,Female,Black or African American,Senior,119,Applied Mathematical Sciences,NA,16,2.5,Yes: another (other than Math 15) statistics training course at UC Merced,No,Auditory,35,December,22,65,8,165,560,2,0,1,5.5,"Facebook,Instagram,LinkedIn,Pinterest",Android,Los Angeles Angels,Green Bay Packers,Boston Celtics,Los Angeles Kings,50,100,0,4,18,Yes,off-campus house in Merced,4,1,10,80,80,taxi/Uber/Lyft,100,0,charter school,100,Yes,40,"Bookstore\, Marketplace\, and/or the Lantern,carts",Yes,Yes,Yes,1,"divorced,I have a step-father/step-mother",0,100,100,No,No,100,50,1200,64000,66,5,10,19,No,70,70,65,No,In a relationship,blush pink,4,50,7,7,7,2,0,holidays,100,90,5,Not sure rn,Not sure,50,No,70,No,2,120,3.5,1300,I plan to join a professional fraternity,50,Yes,"Laptop computer,Tablet",Yes,20,Yes,1000,I plan on earning a bachelor's degree at UC Merced,70,0,No,No,Yes,Yes,Yes,100,10,Waffles,coffee,Dogs,70,4,1,80,50,Yes,tolerable,Dr. Strange,MystiqueÂ ,Spring,right-handed,100,50,8,100,Math 141,Yue Lei,ocean,70
Math 32,Central California,Male,Hispanic or Latino,Junior,86,Applied Mathematical Sciences,NA,16,2.75,No,No,Visual,5,September,20,64,8,130,NA,3,1,0,6,Twitter,Android,NA,NA,NA,NA,10,0,4,7,18,No,off-campus house in Merced,5,1,0,80,50,bus,80,50,public school,20,No,90,"Bookstore\, Marketplace\, and/or the Lantern",Yes,No,Yes,2,married,60,50,40,No,No,60,90,550,50000,80,15,0,0,No,40,40,30,No,Single,forest green,7,70,5,14,3,3,0,monthly,90,60,2,Star Wars the Clone Wars animated seriesÂ ,Scott Piligrim,60,Yes,60,No,3,300,3.8,1150,I do not plan to join a fraternity nor sorority,50,Yes,"Desktop computer,Laptop computer",No,7,Yes,0,I plan on earning a bachelor's degree at UC Merced,30,0,No,Yes,No,No,No,80,20,Waffles,tea,Dogs,50,2,1,70,50,Yes,Yes!,Shazam,Joker,Winter,right-handed,50,60,2,80,Engr 97,Pooja Chapra Physics 8,ocean,40
Math 32,Central California,Male,Hispanic or Latino,Sophomore,70,Applied Mathematical Sciences,Physics,12,3.2,No,No,Kinesthetic,2,November,20,69,10,170,2000,5,0,1,7,"Facebook,Twitter",Android,Oakland Athletics,Buffalo Bills,Los Angeles Lakers,New York Islanders,50,55,0,16,17,No,off-campus apartment in Merced,2,1,1,40,30,car,50,50,public school,40,Yes,50,"dining commons,vending machines",No,Yes,Yes,2,married,4,90,50,No,No,50,60,500,22000,50,15,15,40,No,50,100,100,No,Single,gold,777,50,14,14,7,7,0,monthly,60,50,4,Shark Tank,RockyÂ ,0,No,50,Yes,4,50,4.4,1057,I do not plan to join a fraternity nor sorority,0,Yes,Laptop computer,Yes,40,Yes,3000,I plan on earning a bachelor's degree at UC Merced,40,20,No,No,No,No,No,100,0,Waffles,coffee,Dogs,40,3,1,70,100,Yes,tolerable,Myself,Joker,Spring,right-handed,50,30,10,50,"My favorite class has been Economics of innovation. It was a very simple class but i feel like I absorbed everything very well. The topic was pretty interesting as well

Â ","Prof Hicks

Very thorough at explaining and very detailed when giving supporting examples",ocean,60
Math 32,Central California,Male,Hispanic or Latino,Junior,72,Applied Mathematical Sciences,NA,16,2.3,Yes: Math 15 at UC Merced,Yes,Visual,9,February,20,77,10,180,3000,1,0,0,5,Instagram,Android,San Franciso Giants,Philadelphia Eagles,Golden State Warriors,San Jose Sharks,50,80,0,0,25,Yes,off-campus apartment in Merced,3,3,0,100,45,car,100,0,public school,80,No,6,"dining commons,Bookstore\, Marketplace\, and/or the Lantern,restaurant vendors",No,No,No,2,married,23,100,100,No,No,75,100,100,60000,45,45,0,0,No,85,50,100,No,Single,green,10,75,5,14,0,5,0,weekly,50,20,2,Hey Arnold,Howl's Moving Castle,0,No,30,No,4,325,2.8,1130,I do not plan to join a fraternity nor sorority,0,Yes,"Desktop computer,Laptop computer",Yes,10,Yes,500,I plan on earning a bachelor's degree at UC Merced,100,0,No,Yes,No,No,No,100,0,Waffles,tea,Dogs,50,2,2,100,78,Yes,Yes!,Spider man,Shocker from spider man,Winter,right-handed,100,100,3,50,Math 11,Ms.Callaghan,ocean,100
Math 32,Central California,Male,White or Caucausian,Junior,71,Applied Mathematical Sciences,Spanish,16,2.987,No,No,Visual,3,May,20,70,13,260,2000,0,12,0,10,"Facebook,Twitter",Android,Oakland Athletics,Washington Redskins,Los Angeles Lakers,Arizona Coyotes,NA,NA,0,NA,NA,NA,off-campus house in Merced,4,1,18,50,75,car,NA,0,charter school,50,No,100,dining commons,No,No,Yes,1.5,"divorced,I have a step-father/step-mother",2,100,0,No,No,25,0,NA,NA,70,10,5,2,No,50,0,0,No,In a relationship,Blue,19,75,8,14,0,8,4,monthly,75,75,5,The Arrow,Man of Steel or Brightburn. Hopefully soon to be the cross over between the two,0,NA,50,No,3,100,3.74,1220,I do not plan to join a fraternity nor sorority,0,Yes,"Desktop computer,Laptop computer,Tablet",Yes,1,No,0,I plan on earning a bachelor's degree at UC Merced,100,50,No,Yes,No,Yes,No,90,0,Pancakes,coffee,Cats,20,14,1,99,70,Yes,Yes!,Superman or The Green Arrow,Brightburn or Brandon Bryers,Spring,right-handed,100,90,2,75,Economics 1,Jason Lee,ocean,10
Math 32,Central California,Female,other,Sophomore,65,Applied Mathematical Sciences,NA,16,3.6,Yes: AP Statistics,No,Visual,16,May,19,63,8,115,1700,14,0,0,7,"Instagram,Twitter",iPhone,San Franciso Giants,San Francisco 49ers,Philadelphia 76ers,San Jose Sharks,40,0,0,1,18,Yes,off-campus house in Merced,3,1,10,60,30,car,50,0,public school,50,Yes,20,"Bookstore\, Marketplace\, and/or the Lantern,restaurant vendors",No,No,Yes,3.5,divorced,70,60,10,No,No,60,20,0,2000030,30,10,10,10,No,0,70,75,No,In a relationship,green,7,31,7,14,4,3,1,weekly,90,30,1,Santa Clarita DietÂ ,There will be bloodÂ ,100,Yes,50,Yes,5,200,4.3,1450,I do not plan to join a fraternity nor sorority,0,Yes,"Desktop computer,Laptop computer,Computer lab",No,4,No,0,I plan on earning a bachelor's degree at UC Merced,100,60,No,No,No,Yes,No,100,15,Waffles,coffee,Cats,40,2,1,60,90,Yes,No!,Captain America ;),my professorsÂ ,Summer,left-handed,70,75,4,70,Math 24,Keith Thompson,ocean,80
